692107985|Washington|Biden
20098031|Delaware|Biden
874759570|Wisconsin|Biden
677392348|Hawaii|Biden
999745354|Alaska|Trump
378132917|Oklahoma|Biden
818662521|Florida|Trump
148699692|Texas|Biden
550126360|Virginia|Biden
462082871|Iowa|Biden
414923492|Arizona|Biden
623563009|Maine|Biden
812155393|Oklahoma|Trump
721861012|Michigan|Biden
909378550|Texas|Biden
385427089|Alaska|Trump
43479996|Kentucky|Biden
884490449|Nevada|Trump
801969627|Illinois|Trump
233964311|California|Biden
13808295|Louisiana|Biden
482677051|Oklahoma|Trump
260432430|Louisiana|Biden
908475251|Hawaii|Biden
821118466|Utah|Biden
8113850|Washington|Biden
443252762|Nevada|Biden
322477102|Delaware|Biden
663597906|Oregon|Trump
323664181|Ohio|Biden
571576052|Alabama|Trump
59880584|Kansas|Trump
328983762|Maine|Trump
957011586|Florida|Trump
186178236|Colorado|Biden
924210876|Washington|Trump
101038376|Montana|Trump
598745692|Oregon|Trump
150817131|Illinois|Biden
466719335|Utah|Trump
885218445|Colorado|Trump
754636968|Missouri|Biden
95845734|Maryland|Biden
632378287|Hawaii|Trump
472110578|Louisiana|Biden
628224422|Oregon|Biden
843709426|Minnesota|Trump
88023239|Vermont|Biden
987282717|Kansas|Trump
199800588|Kentucky|Trump
779919011|California|Biden
113964617|Arizona|Biden
369344833|Maine|Trump
324450541|Tennessee|Trump
809587153|Nebraska|Biden
452038609|Idaho|Trump
763917714|Arkansas|Biden
89746908|Pennsylvania|Biden
289083527|Utah|Trump
347349282|Tennessee|Biden
451412488|Oregon|Biden
978659718|Louisiana|Biden
57965704|Georgia|Biden
989431520|Connecticut|Biden
638569473|Texas|Trump
275807045|Maine|Biden
715777866|Massachusetts|Trump
439670403|Ohio|Trump
392823503|Arizona|Biden
612343225|Nebraska|Biden
940710810|Alabama|Biden
347408924|Tennessee|Biden
790824354|Nebraska|Trump
782039710|Vermont|Biden
592782557|Oregon|Biden
282658352|Pennsylvania|Trump
923180933|Illinois|Trump
743796391|Nebraska|Biden
